trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-33.71429285018281,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-94.1764434558941,"{0: 23, 1: 1, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-169.78342333709136,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-137.5660553409637,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,6,-47.2841132920774,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-188.64713335173764,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-159.67913430793183,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-92.63087081718444,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-87.32979040588087,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-112.32934373152646,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-146.24439018242222,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-103.4448445762242,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-54.04126562588554,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-140.55782533087236,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-71.39868098783384,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-121.01681822208447,"{0: 9, 1: 0, 2: 9, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-159.62060322145499,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-154.64075072128477,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-217.0308246585174,"{0: 22, 1: 2, 2: 5, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-207.99628983300394,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 5}",0
1,True,"{'a': 0, 'e': 0}",30,0,-131.11551529332667,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-98.89267437321227,"{0: 12, 1: 1, 2: 3, 3: 4, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-123.75280189775853,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-140.6216622048083,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,4,-41.9190739307467,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,16,-34.36240543171467,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,6,-54.818571167876755,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-32.2312216627445,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-176.28339827004228,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-78.03051873610822,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",30,0,-73.15320590467914,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",25,14,-2.874630445559572,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,0,-108.36444800761576,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",20,0,-139.7016640101251,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",20,0,-96.42743420973353,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,True,"{'a': 0, 'e': 0}",20,0,-147.65682682142003,"{0: 11, 1: 4, 2: 0, 3: 3, 4: 2}",0
17,True,"{'a': 0, 'e': 0}",25,0,-160.4385898263331,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
18,True,"{'a': 0, 'e': 0}",35,0,-146.47733900643857,"{0: 19, 1: 4, 2: 11, 3: 0, 4: 1}",0
19,True,"{'a': 0, 'e': 0}",20,0,-67.43449001630277,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",20,0,-152.7592555919051,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
21,True,"{'a': 0, 'e': 0}",20,0,-114.60186063205603,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
22,True,"{'a': 0, 'e': 0}",25,0,-191.49446773751245,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
23,True,"{'a': 0, 'e': 0}",20,0,-146.86693209585232,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
24,True,"{'a': 0, 'e': 0}",20,0,-139.33039207144617,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
25,True,"{'a': 0, 'e': 0}",25,0,-129.6952231739755,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
26,True,"{'a': 0, 'e': 0}",20,0,-183.1418324145385,"{0: 10, 1: 1, 2: 3, 3: 4, 4: 2}",0
